ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-40114,@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,3: high amount of sadness can be inferred,3,stop!!! Don't make me laugh when I'm being sad.,stop!!! don't make me laugh when i'm being sad.
2017-En-40653,Let's get drunk and tell each other things we're afraid to say when we're sober.,sadness,0: no sadness can be inferred,0,Let's get drunk and tell each other things we're afraid to say when we're sober.,let's get drunk and tell each other things we're afraid to say when we're sober.
2017-En-40536,Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016,sadness,0: no sadness can be inferred,0,Do not grow weary in doing good. The treadlines are better than deadlines.' CGI2016,do not grow weary in doing good. the treadlines are better than deadlines.' cgi2016
2017-En-41166,@OniLink86 @DarekMeridian lmao awe... ,sadness,0: no sadness can be inferred,0,lmao awe...,lmao awe...
2017-En-40075,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,sadness,3: high amount of sadness can be inferred,3,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,good morning lovely people. not gonna lie i've woken up feeling pretty glum.
2017-En-40246,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,sadness,2: moderate amount of sadness can be inferred,2,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,so unbelievably discouraged with music as of late. incredibly behind on completing my album. not digging this at all.
2017-En-40867,"#Facebook is #depressing without even being there. Two apps want it for logging in, I have missed at least two interesting #events and they",sadness,3: high amount of sadness can be inferred,3,"Facebook is depressing without even being there. Two apps want it for logging in, I have missed at least two interesting events and they","facebook is depressing without even being there. two apps want it for logging in, i have missed at least two interesting events and they"
2017-En-40424,Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,sadness,1: low amount of sadness can be inferred,1,Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,mayor visits downtrodden part o town in brave pr stunt. more at eleven.
2017-En-40454,"So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.",sadness,1: low amount of sadness can be inferred,1,"So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.","so i tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again."
2017-En-40549,"@LBardugo Start w/ the 3 songs in Blue Neighborhood\n1) Wild\n2)Fools\n3)Talk Me down 😭😭for #Wesper\nAlso,\n4)Too Good.  #serious kaz/inej feelz",sadness,0: no sadness can be inferred,0,"Start w/ the 3 songs in Blue Neighborhood\n1) Wild\n2)Fools\n3)Talk Me down loudly_crying_faceloudly_crying_facefor Wesper\nAlso,\n4)Too Good. serious kaz/inej feelz","start w/ the 3 songs in blue neighborhood\n1) wild\n2)fools\n3)talk me down loudly_crying_faceloudly_crying_facefor wesper\nalso,\n4)too good. serious kaz/inej feelz"
2017-En-41495,"Feminists should ask themselves, why they're so unhappy, and why they lack love in their lives. Is it b/c they are fighting a losing game?",sadness,1: low amount of sadness can be inferred,1,"Feminists should ask themselves, why they're so unhappy, and why they lack love in their lives. Is it b/c they are fighting a losing game?","feminists should ask themselves, why they're so unhappy, and why they lack love in their lives. is it b/c they are fighting a losing game?"
2017-En-40268,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress,sadness,2: moderate amount of sadness can be inferred,2,I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress,i knew you were going to do that. i would definitely buy if i didn't live in texas where you can't play dfs. ... so depress
2017-En-40468,"@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.",sadness,1: low amount of sadness can be inferred,1,"Well, there's no need to sulk. You can always request a song, you know.","well, there's no need to sulk. you can always request a song, you know."
2017-En-40467,"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!",sadness,1: low amount of sadness can be inferred,1,"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!","it's my last week at cn! i'm gonna be sad to leave, but this will also be my first planned break since going into animation!"
2017-En-41203,My encouragement today is my dog while my head is in a fog. #epicfail  #feelingfedup #tired #ihaveheardeverything #wondering,sadness,2: moderate amount of sadness can be inferred,2,My encouragement today is my dog while my head is in a fog. epicfail feelingfedup tired ihaveheardeverything wondering,my encouragement today is my dog while my head is in a fog. epicfail feelingfedup tired ihaveheardeverything wondering
2017-En-40391,The word happiness would lose its meaning if it were not balanced by sadness.,sadness,1: low amount of sadness can be inferred,1,The word happiness would lose its meaning if it were not balanced by sadness.,the word happiness would lose its meaning if it were not balanced by sadness.
2017-En-40529,No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow,sadness,0: no sadness can be inferred,0,No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow podcast lost editing fail tomorrow,no episode today! whilst editing there was a power outage! we will rebuild...tomorrow podcast lost editing fail tomorrow
2017-En-41447,@mizzymaxx @Bsmarz22 @ssmik2309 haha Bro she's sadly married man 😩😩,sadness,2: moderate amount of sadness can be inferred,2,haha Bro she's sadly married man weary_faceweary_face,haha bro she's sadly married man weary_faceweary_face
2017-En-41297,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned.  #AdultingIsTheWorst,sadness,2: moderate amount of sadness can be inferred,2,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. AdultingIsTheWorst,heading home to cut grass in the heat. all i wanna do is go out to eat somewhere air conditioned. adultingistheworst
2017-En-40920,@bolain_branden @GrimsToyShow grim should find broken Matt hardy because he can delete everything lol,sadness,0: no sadness can be inferred,0,grim should find broken Matt hardy because he can delete everything lol,grim should find broken matt hardy because he can delete everything lol
2017-En-41324,Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :( #unhappy #depression #itnevergoes,sadness,3: high amount of sadness can be inferred,3,Honestly don't know why I'm so unhappy most of the time. I just want it all to stop ( unhappy depression itnevergoes,honestly don't know why i'm so unhappy most of the time. i just want it all to stop ( unhappy depression itnevergoes
2017-En-41366,@RIPPoohSavage u know ion play that shit bout my weary brother,sadness,2: moderate amount of sadness can be inferred,2,u know ion play that shit bout my weary brother,u know ion play that shit bout my weary brother
2017-En-40348,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,sadness,1: low amount of sadness can be inferred,1,Tried 2 get earlier flt 2day Turnd away bcuz it was 2 late Then agent let other pas on silvereliteleftbehind,tried 2 get earlier flt 2day turnd away bcuz it was 2 late then agent let other pas on silvereliteleftbehind
2017-En-41256,@MissFushiGaming I hashtag things and the kids always tell me to stop 😭😭😭😭😭 #sadness,sadness,2: moderate amount of sadness can be inferred,2,I hashtag things and the kids always tell me to stop loudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_face sadness,i hashtag things and the kids always tell me to stop loudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_face sadness
2017-En-41120,My producer is mixing and mastering the songs now for #murky #notebook #mixtape\nThe tape will be out soon for free download 🔥🎶💨💯,sadness,0: no sadness can be inferred,0,My producer is mixing and mastering the songs now for murky notebook mixtape\nThe tape will be out soon for free download firemusical_notesdashing_awayhundred_points,my producer is mixing and mastering the songs now for murky notebook mixtape\nthe tape will be out soon for free download firemusical_notesdashing_awayhundred_points
2017-En-40171,@gagasklaine it's old sadly,sadness,2: moderate amount of sadness can be inferred,2,it's old sadly,it's old sadly
2017-En-40353,"Everything is far away because time is short, no rest for the weary.",sadness,1: low amount of sadness can be inferred,1,"Everything is far away because time is short, no rest for the weary.","everything is far away because time is short, no rest for the weary."
2017-En-40003,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness,3: high amount of sadness can be inferred,3,My Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed anxiety bipolar depression,my fibromyalgia has been really bad lately which is not good for my mental state. i feel very overwhelmed anxiety bipolar depression
2017-En-41254,Always borrow money from a pessimist; he doesn't expect to be paid back.,sadness,0: no sadness can be inferred,0,Always borrow money from a pessimist; he doesn't expect to be paid back.,always borrow money from a pessimist; he doesn't expect to be paid back.
2017-En-40016,We can't even grieve over one black body before another one pops up due to pig brutality,sadness,3: high amount of sadness can be inferred,3,We can't even grieve over one black body before another one pops up due to pig brutality,we can't even grieve over one black body before another one pops up due to pig brutality
2017-En-40753,"A tummy full of steak, wine, key lime pine and cuddles on tap. What a way to turn around a stressful Wednesday 💛",sadness,0: no sadness can be inferred,0,"A tummy full of steak, wine, key lime pine and cuddles on tap. What a way to turn around a stressful Wednesday yellow_heart","a tummy full of steak, wine, key lime pine and cuddles on tap. what a way to turn around a stressful wednesday yellow_heart"
2017-En-41479,Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober,sadness,0: no sadness can be inferred,0,Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon sober,hey man are you asian?!' nah man im hispan...'nah you just high as hell.' some random crackhead in the wal-mart parking lot...cmon sober
2017-En-41433,@metalAndTheGeek @astoldbyfANGIRL SAME! I always say it was the best time of my life. I closed my store down and it was so depressing,sadness,3: high amount of sadness can be inferred,3,SAME! I always say it was the best time of my life. I closed my store down and it was so depressing,same! i always say it was the best time of my life. i closed my store down and it was so depressing
2017-En-40105,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,sadness,3: high amount of sadness can be inferred,3,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. sad,patti seems so sad. she stamped and ran behind the sofa. we will have to give her plenty of love and affection...more than usual. sad
2017-En-40590,"Never switched up, stayed down this the same person since day one.",sadness,0: no sadness can be inferred,0,"Never switched up, stayed down this the same person since day one.","never switched up, stayed down this the same person since day one."
2017-En-41039,@Mattwinton1 Your foot is frowning.,sadness,0: no sadness can be inferred,0,Your foot is frowning.,your foot is frowning.
2017-En-41135,tim burton never fails to depress me,sadness,2: moderate amount of sadness can be inferred,2,tim burton never fails to depress me,tim burton never fails to depress me
2017-En-41132,Lauren Jauregui makes all my problem dissapear it amazes my sadness. She keeps me strong,sadness,0: no sadness can be inferred,0,Lauren Jauregui makes all my problem dissapear it amazes my sadness. She keeps me strong,lauren jauregui makes all my problem dissapear it amazes my sadness. she keeps me strong
2017-En-41280,Dont dull #Dutty_Wednesday,sadness,0: no sadness can be inferred,0,Dont dull Dutty_Wednesday,dont dull dutty_wednesday
2017-En-41105,@jamiesonhelen @MarianKeyes all three of my agin's on the pout .,sadness,1: low amount of sadness can be inferred,1,all three of my agin's on the pout .,all three of my agin's on the pout .
2017-En-40631,Just put the winter duvet on ☃️❄️🌬☔️ #serious,sadness,0: no sadness can be inferred,0,Just put the winter duvet on snowmansnowflakewind_faceumbrella_with_rain_drops serious,just put the winter duvet on snowmansnowflakewind_faceumbrella_with_rain_drops serious
2017-En-41071,The @Orioles are in contention and hosting @RedSox nation and Camden is empty ,sadness,0: no sadness can be inferred,0,The are in contention and hosting nation and Camden is empty,the are in contention and hosting nation and camden is empty
2017-En-40692,"God's love spring.Of one dat sunk his whole estate for d paltry bribe,of a single apple–n yet proud of our ancestry?❤️🗿",sadness,0: no sadness can be inferred,0,"God's love spring.Of one dat sunk his whole estate for d paltry bribe,of a single apple–n yet proud of our ancestry?red_heartmoai","god's love spring.of one dat sunk his whole estate for d paltry bribe,of a single apple–n yet proud of our ancestry?red_heartmoai"
2017-En-40688,i can't take u #serious unless u use #emojis,sadness,0: no sadness can be inferred,0,i can't take u serious unless u use emojis,i can't take u serious unless u use emojis
2017-En-41102,When you lose somebody close to your heart you lose yourself as well 💔 #lost,sadness,3: high amount of sadness can be inferred,3,When you lose somebody close to your heart you lose yourself as well broken_heart lost,when you lose somebody close to your heart you lose yourself as well broken_heart lost
2017-En-40496,Marcos rojo plays for man united !!  Just let that sink in !!!,sadness,0: no sadness can be inferred,0,Marcos rojo plays for man united !! Just let that sink in !!!,marcos rojo plays for man united !! just let that sink in !!!
2017-En-21947,"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",sadness,3: high amount of sadness can be inferred,3,"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain anxiety depression pain","migraine hangover all day. stood up to do dishes and now i'm exhausted again. gad, depression &amp; chronic pain anxiety depression pain"
2017-En-41313,@chrislhayes It's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. This guy is nuts.,sadness,2: moderate amount of sadness can be inferred,2,It's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. This guy is nuts.,it's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. this guy is nuts.
2017-En-41084,Who need #beats ? #instrumentals #serious #artists #only 🚨,sadness,0: no sadness can be inferred,0,Who need beats ? instrumentals serious artists only police_car_light,who need beats ? instrumentals serious artists only police_car_light
2017-En-40702,"@iJuvia_ \n\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --",sadness,0: no sadness can be inferred,0,"\n\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --","\n\nhearing the noises, akame opened her eyes and sat up, facing juvia. she didn't expect at all to see someone around and staid --"
2017-En-40583,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",sadness,0: no sadness can be inferred,0,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal --","-- used as a pawn in this red woman's game] for now, try not to fret and act as if nothing is amiss. this is a royal --"
2017-En-40009,Feel so grim + ugly atm,sadness,3: high amount of sadness can be inferred,3,Feel so grim + ugly atm,feel so grim + ugly atm
2017-En-40850,aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,0: no sadness can be inferred,0,aaahhhh! a little to soothe the soul. music blues,aaahhhh! a little to soothe the soul. music blues
2017-En-41474,@GrimsToyShow @hunna_chunna you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today,sadness,0: no sadness can be inferred,0,you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today,you got hacked on your gaming channel grim by evil wood clowns yesterday september 20 and september 21 today
2017-En-40014,A night where depression is winning... #depression #fml #help,sadness,3: high amount of sadness can be inferred,3,A night where depression is winning... depression fml help,a night where depression is winning... depression fml help
2017-En-40193,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,sadness,2: moderate amount of sadness can be inferred,2,why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! sad,why do i have 2 wait 48 hours to call you back to cancel an order i just placed after already spending 2 hours on the phone?! sad
2017-En-40821,It feel like we lost a family member🙄😂,sadness,3: high amount of sadness can be inferred,3,It feel like we lost a family memberface_with_rolling_eyesface_with_tears_of_joy,it feel like we lost a family memberface_with_rolling_eyesface_with_tears_of_joy
2017-En-40290,"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",sadness,2: moderate amount of sadness can be inferred,2,"Two blankets, a hoody, and still no Eternal Sunshine to mope to.","two blankets, a hoody, and still no eternal sunshine to mope to."
2017-En-40385,@SimonSSSJ123 @EllieG10853 @Onision @Eugenia_Cooney he sure as hell helped me with my depression and still does,sadness,1: low amount of sadness can be inferred,1,he sure as hell helped me with my depression and still does,he sure as hell helped me with my depression and still does
2017-En-40310,Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @%$!' \n'You're half full of @%$!',sadness,2: moderate amount of sadness can be inferred,2,Angry shouting match between a pessimist &amp; an optimist\n'You're a half empty-headed @%$!' \n'You're half full of @%$!',angry shouting match between a pessimist &amp; an optimist\n'you're a half empty-headed @%$!' \n'you're half full of @%$!'
2017-En-40262,whenever i pout i just want Adrian to appear and tell me to stop pouting or else,sadness,2: moderate amount of sadness can be inferred,2,whenever i pout i just want Adrian to appear and tell me to stop pouting or else,whenever i pout i just want adrian to appear and tell me to stop pouting or else
2017-En-40404,Brad Pitt being investigated for child abuse?! this all just got really #dark,sadness,1: low amount of sadness can be inferred,1,Brad Pitt being investigated for child abuse?! this all just got really dark,brad pitt being investigated for child abuse?! this all just got really dark
2017-En-21338,@mar_de_palabras But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.,sadness,1: low amount of sadness can be inferred,1,But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.,but i do think we need to experience a bit madness &amp; despair too. this is the stuff that makes us human.
2017-En-41355,"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",sadness,0: no sadness can be inferred,0,"I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.","i agree. this current, ultra-left democratic party lost a lot of members, including myself. i switched to repub."
2017-En-40184,Hate being sober so I popped two,sadness,2: moderate amount of sadness can be inferred,2,Hate being sober so I popped two,hate being sober so i popped two
2017-En-40895,"My nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color #sad",sadness,3: high amount of sadness can be inferred,3,"My nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color sad","my nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color sad"
2017-En-40749,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",sadness,0: no sadness can be inferred,0,"take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.","take me with you!! jk. have fun, relax, get a massage or two and chill. don't eat the cucumbers, most places frown on that."
2017-En-41450,All work and no play makes Jack a dull boy,sadness,1: low amount of sadness can be inferred,1,All work and no play makes Jack a dull boy,all work and no play makes jack a dull boy
2017-En-41488,@charles_gaba @NateSilver538 @DavMicRot @FiveThirtyEight A litany of name-calling. How dull.,sadness,0: no sadness can be inferred,0,A litany of name-calling. How dull.,a litany of name-calling. how dull.
2017-En-40226,I have no clue where my charger is... #lost,sadness,2: moderate amount of sadness can be inferred,2,I have no clue where my charger is... lost,i have no clue where my charger is... lost
2017-En-41052,Go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now @Cocaineandtacos,sadness,0: no sadness can be inferred,0,Go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now,go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now
2017-En-21353,@ManUtd Rooney needs to come off! Absolutely dreadful! 🙈🙈🙈 class goal from @carras16 @carras16 showing why he should be in the team!!,sadness,1: low amount of sadness can be inferred,1,Rooney needs to come off! Absolutely dreadful! see-no-evil_monkeysee-no-evil_monkeysee-no-evil_monkey class goal from showing why he should be in the team!!,rooney needs to come off! absolutely dreadful! see-no-evil_monkeysee-no-evil_monkeysee-no-evil_monkey class goal from showing why he should be in the team!!
2017-En-40408,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. ,sadness,1: low amount of sadness can be inferred,1,- worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage.,- worst possible decision i could have made when arriving in the uk. shocking service. poor coverage.
2017-En-40244,@eehbahmum WHY?! Did they want to make you plummet in to the depths of despair??,sadness,2: moderate amount of sadness can be inferred,2,WHY?! Did they want to make you plummet in to the depths of despair??,why?! did they want to make you plummet in to the depths of despair??
2017-En-41010,everything in the dream stayed there,sadness,0: no sadness can be inferred,0,everything in the dream stayed there,everything in the dream stayed there
2017-En-40916,I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,sadness,0: no sadness can be inferred,0,I can't wait for you to listen to my new single 'Mystery' and my new albumface_savoring_food. newmusic newsingle newalbum 2016 popmusic dark,i can't wait for you to listen to my new single 'mystery' and my new albumface_savoring_food. newmusic newsingle newalbum 2016 popmusic dark
2017-En-40110,I have not nap for 3 days in a row I'm very unhappy rn,sadness,3: high amount of sadness can be inferred,3,I have not nap for 3 days in a row I'm very unhappy rn,i have not nap for 3 days in a row i'm very unhappy rn
