ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-11613,Janice Griffith snap story  😍😍😍,anger,0: no anger can be inferred,0,Janice Griffith snap story smiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyes,janice griffith snap story smiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyes
2017-En-11646,"@RogueFatale Oh, you insult me! What, you think just because I look like this, I'm psycho? I'm more sane than most Gotham freaks...",anger,3: high amount of anger can be inferred,3,"Oh, you insult me! What, you think just because I look like this, I'm psycho? I'm more sane than most Gotham freaks...","oh, you insult me! what, you think just because i look like this, i'm psycho? i'm more sane than most gotham freaks..."
2017-En-20660,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.",anger,2: moderate amount of anger can be inferred,2,"Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.","hello !\nthe bigger the bully, the more crocodile tears. bullies always act like offended victims."
2017-En-10478,Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,anger,1: low amount of anger can be inferred,1,Now that has snapchat back it's a constant battle to see who can get the ugliest snap of one another face_with_tears_of_joyupside-down_face snap survival,now that has snapchat back it's a constant battle to see who can get the ugliest snap of one another face_with_tears_of_joyupside-down_face snap survival
2017-En-10175,Forgot to eat dinner and now I'm furious with everything and everyone,anger,3: high amount of anger can be inferred,3,Forgot to eat dinner and now I'm furious with everything and everyone,forgot to eat dinner and now i'm furious with everything and everyone
2017-En-11394,@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us. ,anger,1: low amount of anger can be inferred,1,correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us.,correction 26 ppl. checked in. standing at the gate. &amp; flt 1449 took off without us.
2017-En-10647,The most important thing to #bestrong is to hold your #anger #thoughts,anger,0: no anger can be inferred,0,The most important thing to bestrong is to hold your anger thoughts,the most important thing to bestrong is to hold your anger thoughts
2017-En-11334,"your outrage (your tweets, your jokes, your attention) is *exactly* what M*lo wants\n\n(this is not meant as a defense)",anger,1: low amount of anger can be inferred,1,"your outrage (your tweets, your jokes, your attention) is *exactly* what M*lo wants\n\n(this is not meant as a defense)","your outrage (your tweets, your jokes, your attention) is *exactly* what m*lo wants\n\n(this is not meant as a defense)"
2017-En-11608,@macmel19 come play madden at my house after school,anger,0: no anger can be inferred,0,come play madden at my house after school,come play madden at my house after school
2017-En-11347,@RiveraJose39 happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme  #tater,anger,0: no anger can be inferred,0,happy birthday to my seeddouble_exclamation_markdouble_exclamation_markdouble_exclamation_mark renewtherivalry imyourdaddy cantbeatme tater,happy birthday to my seeddouble_exclamation_markdouble_exclamation_markdouble_exclamation_mark renewtherivalry imyourdaddy cantbeatme tater
2017-En-11190,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n #NoteToSelf  #mad #upset",anger,1: low amount of anger can be inferred,1,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n NoteToSelf mad upset","note to self ~ stop laughing at things that offend you, it's ok to get mad at people \n notetoself mad upset"
2017-En-11487,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of #anger.",anger,3: high amount of anger can be inferred,3,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL police, is WORST, most indefensible kind of anger.","anger that you are willing to take out on people &amp; the world in general, &amp; all police, is worst, most indefensible kind of anger."
2017-En-11656,@KClarkSC2 @JohamasSC2 with their faggy colors are nice' is ok too. Even tho some might take offense because WORDS LOL.,anger,0: no anger can be inferred,0,with their faggy colors are nice' is ok too. Even tho some might take offense because WORDS LOL.,with their faggy colors are nice' is ok too. even tho some might take offense because words lol.
2017-En-10183,I can't even right now #bb18 #rage,anger,3: high amount of anger can be inferred,3,I can't even right now bb18 rage,i can't even right now bb18 rage
2017-En-11427,@HillaryClinton It's your party that has divided this nation.  You inflame the minority population as well as pander.  You are a disgrace.,anger,3: high amount of anger can be inferred,3,It's your party that has divided this nation. You inflame the minority population as well as pander. You are a disgrace.,it's your party that has divided this nation. you inflame the minority population as well as pander. you are a disgrace.
2017-En-10278,i have so much hw tonight im offended,anger,2: moderate amount of anger can be inferred,2,i have so much hw tonight im offended,i have so much hw tonight im offended
2017-En-11478,hey long time no tweet but im rooting for paul to win bc he is the only one that played bb and james for 2nd bc he doesnt irritate me #BB18,anger,0: no anger can be inferred,0,hey long time no tweet but im rooting for paul to win bc he is the only one that played bb and james for 2nd bc he doesnt irritate me BB18,hey long time no tweet but im rooting for paul to win bc he is the only one that played bb and james for 2nd bc he doesnt irritate me bb18
2017-En-11354,@hanktastic1776 @sue51684 @EternalRiteWing If you watch his UN speech you can see his resentment towards us Americans!!!!🇺🇸✝🇺🇸,anger,2: moderate amount of anger can be inferred,2,If you watch his UN speech you can see his resentment towards us Americans!!!!United_Stateslatin_crossUnited_States,if you watch his un speech you can see his resentment towards us americans!!!!united_stateslatin_crossunited_states
2017-En-10055,My mind is raging and i just want to end it all,anger,3: high amount of anger can be inferred,3,My mind is raging and i just want to end it all,my mind is raging and i just want to end it all
2017-En-10137,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,2: moderate amount of anger can be inferred,2,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' mayfield","to'why can't we brothers protect one another? no one's serious, and it makes me furious. don't be misled, just think of fred.' mayfield"
2017-En-11552,@DP3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you,anger,2: moderate amount of anger can be inferred,2,lol they are madden tubers u dont know nothing bout madden cuz id smash on you,lol they are madden tubers u dont know nothing bout madden cuz id smash on you
2017-En-11032,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger,2: moderate amount of anger can be inferred,2,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,i almost feel offended that she thinks that's a big deal. she's knows i'll literally do anything for her or kai.
2017-En-11479,@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics. #offended,anger,2: moderate amount of anger can be inferred,2,there was a US diver named steele johnson. i'd like him barred from the olympics. offended,there was a us diver named steele johnson. i'd like him barred from the olympics. offended
2017-En-11655,"But if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you, I'm not sorry💁🏻😊",anger,0: no anger can be inferred,0,"But if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you, I'm not sorryperson_tipping_hand_light_skin_tonesmiling_face_with_smiling_eyes","but if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you, i'm not sorryperson_tipping_hand_light_skin_tonesmiling_face_with_smiling_eyes"
2017-En-10641,you are an angry glass of vodka,anger,0: no anger can be inferred,0,you are an angry glass of vodka,you are an angry glass of vodka
2017-En-10192,Not giving a fuck is better than revenge.,anger,3: high amount of anger can be inferred,3,Not giving a fuck is better than revenge.,not giving a fuck is better than revenge.
2017-En-10621,People often grudge others what they cannot enjoy themselves.,anger,1: low amount of anger can be inferred,1,People often grudge others what they cannot enjoy themselves.,people often grudge others what they cannot enjoy themselves.
2017-En-40872,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",anger,0: no anger can be inferred,0,"sadness with resentment is the past, sadness with fear is the future. try to live in the now MHchat","sadness with resentment is the past, sadness with fear is the future. try to live in the now mhchat"
2017-En-10968,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger,1: low amount of anger can be inferred,1,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle asylumseekers from manus and Nauru,point scorning and fury at labor does nothing to address long term detention and the need to resettle asylumseekers from manus and nauru
2017-En-10413,@kerrybowen_ you have anger issues!,anger,2: moderate amount of anger can be inferred,2,you have anger issues!,you have anger issues!
2017-En-10760,"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",anger,0: no anger can be inferred,0,"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...","tiangong 1, china's first space laboratory, will come to a fiery end in late 2017. the average decommissioned satellite either burns ..."
2017-En-10249,"You will never find someone who loved you like I did. And that my love, will be my revenge.",anger,2: moderate amount of anger can be inferred,2,"You will never find someone who loved you like I did. And that my love, will be my revenge.","you will never find someone who loved you like i did. and that my love, will be my revenge."
2017-En-10897,Might just leave and aggravate bae,anger,1: low amount of anger can be inferred,1,Might just leave and aggravate bae,might just leave and aggravate bae
2017-En-10319,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger,2: moderate amount of anger can be inferred,2,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.","i really really resent having to go to bed at a sensible hour, you guys. i want to talk to my people."
2017-En-10614,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,anger,1: low amount of anger can be inferred,1,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n whereareugoing,what terrible thing to see and have no vision-\n\nhelen keller-\n\n-begin with the end in mind-\n\nstephen covey-\n\n whereareugoing
2017-En-10326,"I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I #lol\n@SergioSarzedo",anger,2: moderate amount of anger can be inferred,2,"I am real sjw, I will not let america down\nI have found us, now go and get us\nI let it out and I let it in\nI rage I lol\n","i am real sjw, i will not let america down\ni have found us, now go and get us\ni let it out and i let it in\ni rage i lol\n"
2017-En-11568,"Probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds",anger,3: high amount of anger can be inferred,3,"Probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds","probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds"
2017-En-10878,Literally fuming fuck sake,anger,3: high amount of anger can be inferred,3,Literally fuming fuck sake,literally fuming fuck sake
2017-En-10668,Nor hell a fury like a woman scorned -- William Congreve,anger,0: no anger can be inferred,0,Nor hell a fury like a woman scorned -- William Congreve,nor hell a fury like a woman scorned -- william congreve
2017-En-11111,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger,1: low amount of anger can be inferred,1,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,if i do my homework now i can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework
2017-En-10714,@BarackObama I love Lizzy Warren's latest rage against Wall Street.,anger,0: no anger can be inferred,0,I love Lizzy Warren's latest rage against Wall Street.,i love lizzy warren's latest rage against wall street.
2017-En-10498,Skipping meals is the national way of showing #disappointment and #anger. #wiz,anger,1: low amount of anger can be inferred,1,Skipping meals is the national way of showing disappointment and anger. wiz,skipping meals is the national way of showing disappointment and anger. wiz
2017-En-11108,@zavierdaniels had to snap going crazy 😭😭,anger,1: low amount of anger can be inferred,1,had to snap going crazy loudly_crying_faceloudly_crying_face,had to snap going crazy loudly_crying_faceloudly_crying_face
2017-En-11130,@o2academybham since when the fuck can you not stand at a concert? #raging,anger,3: high amount of anger can be inferred,3,since when the fuck can you not stand at a concert? raging,since when the fuck can you not stand at a concert? raging
2017-En-11342,@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk,anger,3: high amount of anger can be inferred,3,Huh! It's always my fault isn't it &gt;( sulk,huh! it's always my fault isn't it &gt;( sulk
2017-En-10994,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger,0: no anger can be inferred,0,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol","a guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol"
2017-En-11616,That last #madden commercial 😆😆😆😆😆😆 #TNF,anger,0: no anger can be inferred,0,That last madden commercial grinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_face TNF,that last madden commercial grinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_face tnf
2017-En-11062,"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine",anger,1: low amount of anger can be inferred,1,"Despite your outrage fatigue, don't lose your shine","despite your outrage fatigue, don't lose your shine"
2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",anger,0: no anger can be inferred,0,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!","all this from a cigarette burning in laura's hand, the angle of her chin, the purse of her lips.'(104) gorgeous transition!"
2017-En-11231,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming",anger,2: moderate amount of anger can be inferred,2,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming","being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type a part of me is fuming"
2017-En-10064,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,3: high amount of anger can be inferred,3,Boycotting till butter pecan comes back. I am furious,boycotting till butter pecan comes back. i am furious
2017-En-11449,I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger,3: high amount of anger can be inferred,3,I hate not having the answers I need. tomourssuck prayinsnotcancer angry,i hate not having the answers i need. tomourssuck prayinsnotcancer angry
2017-En-11254,"@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge",anger,0: no anger can be inferred,0,"May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. revenge","may i suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. revenge"
2017-En-11101,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/,anger,1: low amount of anger can be inferred,1,I've been having a quad shot every day and can sleep right after... it's time to detox grinning_face_with_sweat I get raging migraines without coffee /,i've been having a quad shot every day and can sleep right after... it's time to detox grinning_face_with_sweat i get raging migraines without coffee /
2017-En-11086,@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger,1: low amount of anger can be inferred,1,That might sting for a bit lads but you'll get over it. betterwithsinnfein,that might sting for a bit lads but you'll get over it. betterwithsinnfein
2017-En-11538,@JaredWyand Maybe if it was transgender the media would cover it #outrage,anger,2: moderate amount of anger can be inferred,2,Maybe if it was transgender the media would cover it outrage,maybe if it was transgender the media would cover it outrage
2017-En-41516,Boy oh boy! our weekday schedule is crazy! But no matter how tired I am I do whatever it takes to keep the smile on Kai's face from a frown,anger,0: no anger can be inferred,0,Boy oh boy! our weekday schedule is crazy! But no matter how tired I am I do whatever it takes to keep the smile on Kai's face from a frown,boy oh boy! our weekday schedule is crazy! but no matter how tired i am i do whatever it takes to keep the smile on kai's face from a frown
2017-En-10414,i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger,2: moderate amount of anger can be inferred,2,i can't believe they're all messing up my favourite of all bakes i feel personally offended,i can't believe they're all messing up my favourite of all bakes i feel personally offended
2017-En-11578,10 minutes with an incense and all I get is 2 Rattatas. 😂#PokemonGO,anger,0: no anger can be inferred,0,10 minutes with an incense and all I get is 2 Rattatas. face_with_tears_of_joyPokemonGO,10 minutes with an incense and all i get is 2 rattatas. face_with_tears_of_joypokemongo
2017-En-10948,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious,anger,3: high amount of anger can be inferred,3,I've been disconnected whilst on holiday face_with_steam_from_nose but I don't move house until the 1st October thinking_face furious,i've been disconnected whilst on holiday face_with_steam_from_nose but i don't move house until the 1st october thinking_face furious
2017-En-10199,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger,3: high amount of anger can be inferred,3,he has BAD TEMPERAMENT HissyFits,he has bad temperament hissyfits
2017-En-11022,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger,1: low amount of anger can be inferred,1,i think your high-profile female colleague would be one in yhat category... massexodus bitter,i think your high-profile female colleague would be one in yhat category... massexodus bitter
2017-En-10117,angry already,anger,3: high amount of anger can be inferred,3,angry already,angry already
2017-En-10709,@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :)),anger,0: no anger can be inferred,0,\nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll )),\nit's always fun to anger 'all the old dudes.' with rock n' roll ))
2017-En-10536,"@iStoleFreeHugs @stephlaris lol I'm happy with my negative, realistic ass self. Sorry to offend you",anger,1: low amount of anger can be inferred,1,"lol I'm happy with my negative, realistic ass self. Sorry to offend you","lol i'm happy with my negative, realistic ass self. sorry to offend you"
2017-En-10526,Chris ate all my mac n cheese so imma eat all his taffy ,anger,1: low amount of anger can be inferred,1,Chris ate all my mac n cheese so imma eat all his taffy,chris ate all my mac n cheese so imma eat all his taffy
2017-En-11641,@Andy1129298 @hopheaddarrell fingers of fury!,anger,2: moderate amount of anger can be inferred,2,fingers of fury!,fingers of fury!
2017-En-10597,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",anger,1: low amount of anger can be inferred,1,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.","trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before trump got into politics."
2017-En-10532,@BigBrother__USA she is just jealous and a cry baby!  #gladsheisgone #crybaby,anger,1: low amount of anger can be inferred,1,she is just jealous and a cry baby! gladsheisgone crybaby,she is just jealous and a cry baby! gladsheisgone crybaby
2017-En-11577,Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up #fuming,anger,3: high amount of anger can be inferred,3,Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up fuming,who the hell is drilling outside my house?! literally got to sleep at half four after a busy shift and these twats have woken me up fuming
2017-En-11320,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right ,anger,1: low amount of anger can be inferred,1,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right,dentist just said to me' i'm going to numb your front lip up so it'll feel as if you've got lips like pete burns!...... she was right
2017-En-11223,"@alliex both, scrap *ll the rage instead",anger,2: moderate amount of anger can be inferred,2,"both, scrap *ll the rage instead","both, scrap *ll the rage instead"
2017-En-11210,@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,anger,1: low amount of anger can be inferred,1,wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,wow i just realized how much of a sexist pig i am! i am truly sorry to anyone i offended
2017-En-10374,@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec,anger,2: moderate amount of anger can be inferred,2,unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec,unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. no winning this elec
2017-En-40464,and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?',anger,0: no anger can be inferred,0,and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?',and naoto nod she also like tha bands. but she also frown. 'will the bands 'papa roach' be at concert...?'
2017-En-11642,Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,anger,2: moderate amount of anger can be inferred,2,Every day I think my house house_with_garden is burning fire but it's always just my neighbor burning their toast! face_with_medical_maskpouting_facebread,every day i think my house house_with_garden is burning fire but it's always just my neighbor burning their toast! face_with_medical_maskpouting_facebread
2017-En-10003,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,3: high amount of anger can be inferred,3,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep pissed angry upset tired sad tired hangry,so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep pissed angry upset tired sad tired hangry
2017-En-11575,I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.,anger,0: no anger can be inferred,0,I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.,i heard movie bob was furious about the skittles analogy. he was upset that there wasn't actually any skittles.
2017-En-11195,@Susan_Wilde @oohincensed @TheCanarySays no! Kinda offended that you had to ask,anger,1: low amount of anger can be inferred,1,no! Kinda offended that you had to ask,no! kinda offended that you had to ask
2017-En-11469,@SMalloy_LWOS that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,anger,0: no anger can be inferred,0,that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,that's not easy to blow up the lt on a run play. he created the seam for sua to burst through
2017-En-10331,Need a new outlet for #rage,anger,2: moderate amount of anger can be inferred,2,Need a new outlet for rage,need a new outlet for rage
2017-En-10833,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme  #nudes #tits #snapchat,anger,0: no anger can be inferred,0,Kik me I want to swap pics I will post on my account anonymously if you wish Kik vsvplou Kik kikme nudes tits snapchat,kik me i want to swap pics i will post on my account anonymously if you wish kik vsvplou kik kikme nudes tits snapchat
2017-En-10543,I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,anger,1: low amount of anger can be inferred,1,I don't get what point is made when reporting on Charlotte looting . Why not explore what looting businesses symbolizes,i don't get what point is made when reporting on charlotte looting . why not explore what looting businesses symbolizes
2017-En-10842,"@savageimiike one of my favorite songs brother, real talk. ",anger,0: no anger can be inferred,0,"one of my favorite songs brother, real talk.","one of my favorite songs brother, real talk."
2017-En-10799,Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte  #against #machines,anger,0: no anger can be inferred,0,Prayers &amp; Protection to our brothers and sisters fighting in Charlotte against machines,prayers &amp; protection to our brothers and sisters fighting in charlotte against machines
2017-En-10230,Girls irritate me so much lol,anger,2: moderate amount of anger can be inferred,2,Girls irritate me so much lol,girls irritate me so much lol
2017-En-11683,Like he really just fucking asked me that. #offended,anger,3: high amount of anger can be inferred,3,Like he really just fucking asked me that. offended,like he really just fucking asked me that. offended
2017-En-11329,@jonnyp_43 @MedicNow like going to a so called cardiac arrest that turned out to be a cut finger! #fuming #medchat,anger,2: moderate amount of anger can be inferred,2,like going to a so called cardiac arrest that turned out to be a cut finger! fuming medchat,like going to a so called cardiac arrest that turned out to be a cut finger! fuming medchat
2017-En-11435,Fear the fearsome fury of the forest fawn!,anger,0: no anger can be inferred,0,Fear the fearsome fury of the forest fawn!,fear the fearsome fury of the forest fawn!
2017-En-10774,Focus on yourself. Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.,anger,0: no anger can be inferred,0,Focus on yourself. Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.,focus on yourself. don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.
2017-En-10784,"@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless",anger,0: no anger can be inferred,0,"meeee, i'm lvl 320 and i have not a single relentless","meeee, i'm lvl 320 and i have not a single relentless"
2017-En-10349,Forever angry that gh ruined Molly and morgan's bond/friendship ,anger,2: moderate amount of anger can be inferred,2,Forever angry that gh ruined Molly and morgan's bond/friendship,forever angry that gh ruined molly and morgan's bond/friendship
2017-En-10865,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,3: high amount of anger can be inferred,3,"One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. fuming","one chosen by the clp members! mp seats are not for people to dole out to their mates, we elect candidates. fuming"
2017-En-10960,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger,0: no anger can be inferred,0,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.","the animosity toward hillary comes from conspiracy theories and perception, the animosity toward trump is based on what he says and does."
2017-En-10365,@m_warner21 Yikes. The wrath of Maddie...,anger,2: moderate amount of anger can be inferred,2,Yikes. The wrath of Maddie...,yikes. the wrath of maddie...
2017-En-10845,"Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HER😩",anger,0: no anger can be inferred,0,"Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HERweary_face","ellie just gave me loads of gifts with notes on em for uni n i burst out in tears, i love herweary_face"
